id,name,product_url,original_price,sale_price,image_url,source_page
44,"Hand-knotted authentic antique North west Persian rug size 10ft 2"" by 12ft 4"" circa 1880s one of its kind",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/hand-knotted-authentic-antique-north-west-persian-rug-size-10ft-2-by-12ft-4-circa-1880s-one-of-its-kind,"$29,000.00","$18,000.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000013231.jpg,3
45,"Decorative 100% hand Knotted silk and wool modern design size 8ft 1"" by 10ft 4"" soft blue (BIG SAVING on this rug)",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-silk-and-wool-modern-design-size-8ft-1-by-10ft-4-soft-blue,"$5,900.00","$3,200.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000009379.jpg,3
46,Beautiful geometric design hand Knotted authentic Caucasian shirvan design size 3ft by 5ft circa 1880s 100% pure wool,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/beautiful-geometric-design-hand-knotted-authentic-caucasian-shirvan-design-size-3ft-by-5ft-circa-1880s-100-pure-wool,"$4,500.00","$2,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000009301.jpg,4
47,Decorative hand Knotted authentic antique Caucasian Kazak design circa 1880s size 3ft by 5ft 100% pure wool rug,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-authentic-antique-caucasian-kazak-design-circa-1880s-size-3ft-by-5ft-100-pure-wool-rug,"$3,900.00","$2,200.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000009297.jpg,4
48,"Long runner hand Knotted authentic antique Caucasian Kazak design circa 1900s size 3ft 5"" by 12ft",https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/long-runner-hand-knotted-authentic-antique-caucasian-kazak-design-circa-1900s-size-3ft-5-by-12ft,"$7,500.00","$4,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000009294.jpg,4
49,(sold) Decorative hand Knotted authentic antique Caucasian Akstafa size 3ft by 5ft circa 1880s,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-authentic-antique-caucasian-akstafa-size-3ft-by-5ft-circa-1880s,"$4,500.00","$2,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000009304.jpg,4
50,Decorative hand Knotted fine quality 100% soft wool pile and cotton foundation size 10ft by 14ft allover design rug,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-fine-quality-100--soft-wool-pile-and-cotton-foundation-size-10ft-by-14ft-allover-design-rug,"$8,900.00","$5,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000008554.jpg,4
51,Decorative hand Knotted 100% pure wool Turkish oushak design size 9ft by 12ft new,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-100-pure-wool-turkish-oushak-design-size-9ft-by-12ft-new,"$6,500.00","$3,900.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000007265.jpg,4
52,(SOLD) Decorative 100% hand Knotted soft colors Oushak design size 8ft by 10ft made of 100% pure wool new (BIG SAVING on this rug),https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-soft-colors-oushak-design--size-8ft-by-10ft--made-of-100-pure-wool--new,"$4,500.00","$3,200.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000006624.jpg,4
53,Decorative Hand Knotted Oushak design size 8ft by 10ft made of 100% pure wool pile NEW,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-oushak--design-size-8ft-by-10ft-made-of-100-pure-wool-pile--new,"$4,500.00","$3,200.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000006626.jpg,4
54,Decorative hand Knotted 100% pure wool oushak design size 6ft x 9ft new soft colors,https://baseerorientalrugs.com/hand-kotted-rugs-sale-1/ols/products/decorative-hand-knotted-100-wool-oushak-design-size-6x9ft,"$3,500.00","$1,500.00",https://img1.wsimg.com/isteam/ip/6297fd88-bda9-4967-b377-b62716f47e9a/ols/1000006375.jpg,4
